№,Localización,Comienzo,Duración,Tiempo de traslado
1,"Calle Manuel Gutiérrez Nájera 145, Fraccionamiento Amado Nervo, San Luis Potosí 78230, Mexico",2023-01-25 07:43:32,0:03:00,0:00:00
2,"Calle Anáhuac 420, Valle De Tequisquiapan, San Luis Potosí 78238, Mexico",2023-01-25 07:53:41,0:05:00,0:07:09
3,"Calle Agustín Vera 230, Valle De Tequisquiapan, San Luis Potosí 78238, Mexico",2023-01-25 08:01:06,0:04:00,0:02:25
4,"Calle Provincia De Nápoles 106, García Diego, San Luis Potosí 78177, Mexico",2023-01-25 08:11:14,0:05:00,0:06:08
5,"Calle Mariano Matamoros 365, Santo Domingo, San Luis Potosí 78049, Mexico",2023-01-25 08:23:46,0:06:00,0:07:32
6,"Avenida Pedro Moreno 665, Fraccionamiento Tequisquiapan, San Luis Potosí 78250, Mexico",2023-01-25 08:32:35,0:06:00,0:02:49
7,"Calle Barrio De San Sebastián 113, San Pedro, San Luis Potosí 78178, Mexico",2023-01-25 08:50:17,0:04:00,0:11:42
8,"Privada Regina, Fracc Pro-Hogar Ferrocarrilero, San Luis Potosí 78230, Mexico",2023-01-25 09:01:49,0:06:00,0:07:32
9,"Avenida Nicolás Zapata 843C, Valle De Bravo, San Luis Potosí 78250, Mexico",2023-01-25 09:10:55,0:10:00,0:03:06
10,"Calle Salvador Díaz Mirón 120, Fraccionamiento Amado Nervo, San Luis Potosí 78230, Mexico",2023-01-25 09:23:23,0:11:00,0:02:28
11,"Calle Alfredo M. Terrazas 650, Tequisquiapan, San Luis Potosí 78250, Mexico",2023-01-25 09:39:10,0:06:00,0:04:47
12,"Avenida Venustiano Carranza 1160A, Valle De Tequisquiapan, San Luis Potosí 78238, Mexico",2023-01-25 09:49:04,0:05:00,0:03:54
13,"Avenida Muñoz 500, Del Valle, San Luis Potosí 78200, Mexico",2023-01-25 09:58:25,0:15:00,0:04:21
14,"Calle Benigno Arriaga 235, Fraccionamiento Atlas, San Luis Potosí 78230, Mexico",2023-01-25 10:18:51,0:47:23,0:05:26
15,"Privada San Gabriel, Fraccionamiento Tequisquiapan, San Luis Potosí 78250, Mexico",2023-01-25 11:12:07,0:08:01,0:05:53
16,"Avenida Pedro Moreno 745A, Fraccionamiento Tequisquiapan, San Luis Potosí 78250, Mexico",2023-01-25 11:28:46,0:05:00,0:08:38
17,"Calle Mariano Matamoros 734, Santo Domingo, San Luis Potosí 78049, Mexico",2023-01-25 11:37:29,0:03:00,0:03:43
18,"Prolongación Pedro Moreno 1148, Industrial Aviación 2Da Sección, San Luis Potosí 78173, Mexico",2023-01-25 11:46:15,0:07:00,0:05:46
19,"Calle Ana María G. Costilla 112, Fracc Los Ángeles, San Luis Potosí 78230, Mexico",2023-01-25 12:04:36,0:09:00,0:11:21
20,"Calle Mariano Otero 230, Fraccionamiento Amado Nervo, San Luis Potosí 78230, Mexico",2023-01-25 12:16:19,0:08:00,0:02:43
21,"1Ra Privada De Muñoz 125, Del Valle, San Luis Potosí 78200, Mexico",2023-01-25 12:31:09,0:15:09,0:06:50
22,"Calle Teodoro Torres 124, Valle De Bravo, San Luis Potosí 78250, Mexico",2023-01-25 12:50:28,0:08:00,0:04:10
23,"Calle Provincia De Nápoles 106, García Diego, San Luis Potosí 78177, Mexico",2023-01-25 13:05:47,0:05:00,0:07:19
24,"Calle Mariano Azuela 125, García Diego, San Luis Potosí 78177, Mexico",2023-01-25 13:13:04,0:07:00,0:02:17
25,"Calle Barrio De Santiago 148, San Pedro, San Luis Potosí 78178, Mexico",2023-01-25 13:23:53,0:08:00,0:03:49
26,"Calle Benigno Arriaga 1235A, Las Garzas, San Luis Potosí 78239, Mexico",2023-01-25 13:41:56,0:08:00,0:10:03
27,"Calle Amado Nervo 241, Tequisquiapan, San Luis Potosí 78250, Mexico",2023-01-25 13:56:52,0:07:00,0:06:56
28,"Calle Mariano Ávila 309, Valle De Tequisquiapan, San Luis Potosí 78238, Mexico",2023-01-25 14:10:01,0:07:00,0:06:09
29,"Calle Benigno Arriaga 360, Fracc Bugambilias, San Luis Potosí 78140, Mexico",2023-01-25 14:19:40,0:02:00,0:02:39
30,"Prolongación De La Paz 145, Fracc Privada De Los Reyes, San Luis Potosí 78170, Mexico",2023-01-25 14:32:11,0:09:00,0:10:31
31,POTOGAS SLP,2023-01-25 15:15:00,0:32:26,0:33:49
32,POTOGAS SLP,2023-01-25 15:48:45,0:39:19,0:01:19
33,POTOGAS SLP,2023-01-25 16:31:19,5:15:01,0:03:15
-----,-----,2023-01-25 07:43:32,10:36:19,3:26:29
,,,#DIV/0!,